
[Name]
BC_2000

[Data]
X [ m ], Y [ m ], Z [ m ], X [ m ], Y [ m ]
8.90825093e-01, 1.78789347e-02, 1.00000000e+00, 8.90825093e-01, 1.78789347e-02
8.90825093e-01, 1.78789347e-02, 0.00000000e+00, 8.90825093e-01, 1.78789347e-02
9.00951385e-01, 1.64463744e-02, 1.00000000e+00, 9.00951385e-01, 1.64463744e-02
9.00951385e-01, 1.64463744e-02, 0.00000000e+00, 9.00951385e-01, 1.64463744e-02
9.11041915e-01, 1.49934040e-02, 1.00000000e+00, 9.11041915e-01, 1.49934040e-02
9.11041915e-01, 1.49934040e-02, 0.00000000e+00, 9.11041915e-01, 1.49934040e-02
9.21090662e-01, 1.35108912e-02, 1.00000000e+00, 9.21090662e-01, 1.35108912e-02
9.21090662e-01, 1.35108912e-02, 0.00000000e+00, 9.21090662e-01, 1.35108912e-02
9.31110322e-01, 1.20158214e-02, 1.00000000e+00, 9.31110322e-01, 1.20158214e-02
9.31110322e-01, 1.20158214e-02, 0.00000000e+00, 9.31110322e-01, 1.20158214e-02
9.41085339e-01, 1.04847522e-02, 1.00000000e+00, 9.41085339e-01, 1.04847522e-02
9.41085339e-01, 1.04847522e-02, 0.00000000e+00, 9.41085339e-01, 1.04847522e-02
9.51011896e-01, 8.89170170e-03, 1.00000000e+00, 9.51011896e-01, 8.89170170e-03
9.51011896e-01, 8.89170170e-03, 0.00000000e+00, 9.51011896e-01, 8.89170170e-03
9.60898876e-01, 7.21184909e-03, 1.00000000e+00, 9.60898876e-01, 7.21184909e-03
9.60898876e-01, 7.21184909e-03, 0.00000000e+00, 9.60898876e-01, 7.21184909e-03
9.70734477e-01, 5.43904398e-03, 1.00000000e+00, 9.70734477e-01, 5.43904398e-03
9.70734477e-01, 5.43904398e-03, 0.00000000e+00, 9.70734477e-01, 5.43904398e-03
9.80538487e-01, 3.58420680e-03, 1.00000000e+00, 9.80538487e-01, 3.58420680e-03
9.80538487e-01, 3.58420680e-03, 0.00000000e+00, 9.80538487e-01, 3.58420680e-03
9.90343094e-01, 1.69973238e-03, 1.00000000e+00, 9.90343094e-01, 1.69973238e-03
9.90343094e-01, 1.69973238e-03, 0.00000000e+00, 9.90343094e-01, 1.69973238e-03
1.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.00000000e+00, 0.00000000e+00
1.00000000e+00, 0.00000000e+00, 1.00000000e+00, 1.00000000e+00, 0.00000000e+00
-2.05236906e-03, -2.04865530e-04, 0.00000000e+00, -2.05236906e-03, -2.04865530e-04
-2.05236906e-03, -2.04865530e-04, 1.00000000e+00, -2.05236906e-03, -2.04865530e-04
9.05585650e-04, 6.17740583e-03, 1.00000000e+00, 9.05585650e-04, 6.17740583e-03
9.05585650e-04, 6.17740583e-03, 0.00000000e+00, 9.05585650e-04, 6.17740583e-03
6.79819100e-03, 1.08266212e-02, 1.00000000e+00, 6.79819100e-03, 1.08266212e-02
6.79819100e-03, 1.08266212e-02, 0.00000000e+00, 6.79819100e-03, 1.08266212e-02
1.28016816e-02, 1.46543942e-02, 1.00000000e+00, 1.28016816e-02, 1.46543942e-02
1.28016816e-02, 1.46543942e-02, 0.00000000e+00, 1.28016816e-02, 1.46543942e-02
1.88671649e-02, 1.83225386e-02, 1.00000000e+00, 1.88671649e-02, 1.83225386e-02
1.88671649e-02, 1.83225386e-02, 0.00000000e+00, 1.88671649e-02, 1.83225386e-02
2.53067706e-02, 2.16438584e-02, 1.00000000e+00, 2.53067706e-02, 2.16438584e-02
2.53067706e-02, 2.16438584e-02, 0.00000000e+00, 2.53067706e-02, 2.16438584e-02
3.20846103e-02, 2.47020572e-02, 1.00000000e+00, 3.20846103e-02, 2.47020572e-02
3.20846103e-02, 2.47020572e-02, 0.00000000e+00, 3.20846103e-02, 2.47020572e-02
3.91464047e-02, 2.75290404e-02, 1.00000000e+00, 3.91464047e-02, 2.75290404e-02
